task,n_demos,trial_id,seed,success,n_waypoints_executed,parse_error,execution_error
pick_up_cup,5,18,1018,False,9,,
pick_up_cup,5,19,1019,False,10,,
pick_up_cup,5,20,1020,True,9,,
pick_up_cup,5,21,1021,True,8,,
pick_up_cup,5,22,1022,True,8,,
pick_up_cup,5,23,1023,False,10,,
pick_up_cup,5,24,1024,True,9,,
pick_up_cup,10,0,1000,True,9,,
pick_up_cup,10,1,1001,False,10,,
pick_up_cup,10,2,1002,True,9,,
pick_up_cup,10,3,1003,True,9,,
pick_up_cup,10,4,1004,False,10,,
pick_up_cup,10,5,1005,True,9,,
pick_up_cup,10,6,1006,True,9,,
pick_up_cup,10,7,1007,True,9,,
pick_up_cup,10,8,1008,True,9,,
pick_up_cup,10,9,1009,True,9,,
pick_up_cup,10,10,1010,True,9,,
pick_up_cup,10,11,1011,True,9,,
pick_up_cup,10,12,1012,True,9,,
pick_up_cup,10,13,1013,True,9,,
pick_up_cup,10,14,1014,True,9,,
pick_up_cup,10,15,1015,False,1,,Step 1: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
pick_up_cup,10,16,1016,False,10,,
pick_up_cup,10,17,1017,False,9,,Step 9: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
pick_up_cup,10,18,1018,True,9,,
pick_up_cup,10,19,1019,True,9,,
pick_up_cup,10,20,1020,False,10,,
pick_up_cup,10,21,1021,True,9,,
pick_up_cup,10,22,1022,True,9,,
pick_up_cup,10,23,1023,True,9,,
pick_up_cup,10,24,1024,True,9,,
pick_up_cup,20,0,1000,False,10,,
pick_up_cup,20,1,1001,True,9,,
pick_up_cup,20,2,1002,True,9,,
pick_up_cup,20,3,1003,True,9,,
pick_up_cup,20,4,1004,True,9,,
pick_up_cup,20,5,1005,True,9,,
pick_up_cup,20,6,1006,False,10,,
pick_up_cup,20,7,1007,False,10,,
pick_up_cup,20,8,1008,False,10,,
pick_up_cup,20,9,1009,True,9,,
pick_up_cup,20,10,1010,False,10,,
pick_up_cup,20,11,1011,True,8,,
pick_up_cup,20,12,1012,True,9,,
pick_up_cup,20,13,1013,False,10,,
pick_up_cup,20,14,1014,False,10,,
pick_up_cup,20,15,1015,False,10,,
pick_up_cup,20,16,1016,True,9,,
pick_up_cup,20,17,1017,True,9,,
pick_up_cup,20,18,1018,True,9,,
pick_up_cup,20,19,1019,False,10,,
pick_up_cup,20,20,1020,False,10,,
pick_up_cup,20,21,1021,True,9,,
pick_up_cup,20,22,1022,True,9,,
pick_up_cup,20,23,1023,True,9,,
pick_up_cup,20,24,1024,True,9,,
take_lid_off_saucepan,1,0,1000,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,1,1001,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,2,1002,False,10,,
take_lid_off_saucepan,1,3,1003,False,10,,
take_lid_off_saucepan,1,4,1004,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,5,1005,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,6,1006,False,10,,
take_lid_off_saucepan,1,7,1007,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,8,1008,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,9,1009,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,10,1010,False,10,,
take_lid_off_saucepan,1,11,1011,False,10,,
take_lid_off_saucepan,1,12,1012,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,13,1013,False,10,,
take_lid_off_saucepan,1,14,1014,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,15,1015,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,16,1016,False,10,,
take_lid_off_saucepan,1,17,1017,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,18,1018,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,19,1019,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,20,1020,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,21,1021,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,22,1022,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,1,23,1023,True,10,,
take_lid_off_saucepan,1,24,1024,False,10,,
take_lid_off_saucepan,2,0,1000,False,10,,
take_lid_off_saucepan,2,1,1001,False,10,,
take_lid_off_saucepan,2,2,1002,True,10,,
take_lid_off_saucepan,2,3,1003,True,10,,
take_lid_off_saucepan,2,4,1004,False,9,,
take_lid_off_saucepan,2,5,1005,False,10,,
take_lid_off_saucepan,2,6,1006,False,10,,
take_lid_off_saucepan,2,7,1007,False,10,,
take_lid_off_saucepan,2,8,1008,False,10,,
take_lid_off_saucepan,2,9,1009,True,10,,
take_lid_off_saucepan,2,10,1010,False,10,,
take_lid_off_saucepan,2,11,1011,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,2,12,1012,False,10,,
